dataset,answer_selected,graph_score,n,em,error_rate,f1
hotpot,false,0,100,0.2700,0.7300,0.2764
hotpot,false,1,52,0.3269,0.6731,0.3564
hotpot,false,2,14,0.2143,0.7857,0.2714
hotpot,false,3,12,0.0000,1.0000,0.1111
hotpot,true,0,468,0.6581,0.3419,0.7616
hotpot,true,1,255,0.6078,0.3922,0.7211
hotpot,true,2,48,0.6667,0.3333,0.7275
hotpot,true,3,51,0.3922,0.6078,0.5857
2wiki,false,0,69,0.6087,0.3913,0.6757
2wiki,false,1,68,0.6029,0.3971,0.6679
2wiki,false,2,5,0.2000,0.8000,0.2571
2wiki,false,3,6,0.3333,0.6667,0.5917
2wiki,true,0,170,0.7412,0.2588,0.8056
2wiki,true,1,149,0.7383,0.2617,0.8118
2wiki,true,2,12,0.5833,0.4167,0.6333
2wiki,true,3,21,0.7619,0.2381,0.7937
