dataset,method,n,em,em_ci95_low,em_ci95_high,f1,f1_ci95_low,f1_ci95_high
hotpot,EvidenceFirst v4 fresh,1000,0.5500,0.5190,0.5800,0.6484,0.6216,0.6757
hotpot,EvidenceFirst v6 selector guard,1000,0.5620,0.5310,0.5930,0.6564,0.6301,0.6826
hotpot,HopRAG strict,1000,0.5410,0.5090,0.5730,0.6438,0.6166,0.6705
hotpot,A-RAG,1000,0.5170,0.4860,0.5480,0.6273,0.6000,0.6539
hotpot,IRCoT,1000,0.4660,0.4340,0.4970,0.5707,0.5423,0.5991
hotpot,LightRAG,1000,0.4380,0.4080,0.4690,0.5376,0.5088,0.5665
hotpot,MS GraphRAG,1000,0.1890,0.1650,0.2140,0.2774,0.2530,0.3019
hotpot,Naive RAG,1000,0.3920,0.3610,0.4220,0.4865,0.4579,0.5144
2wiki,EvidenceFirst v6,500,0.6900,0.6500,0.7300,0.7581,0.7228,0.7927
2wiki,EvidenceFirst v6 local-context,500,0.5040,0.4600,0.5500,0.5945,0.5536,0.6346
2wiki,LightRAG,500,0.6740,0.6320,0.7140,0.7716,0.7373,0.8037
2wiki,HopRAG strict,500,0.5640,0.5200,0.6080,0.6157,0.5746,0.6567
2wiki,A-RAG,500,0.6660,0.6240,0.7080,0.7323,0.6946,0.7681
2wiki,IRCoT,500,0.6560,0.6140,0.6980,0.7301,0.6928,0.7662
2wiki,Naive RAG,500,0.2980,0.2580,0.3380,0.3338,0.2949,0.3741
