dataset,risk_bin,n,rate,em,f1,error_rate,selected_rate,chain_complete_rate,unrepaired_incomplete_rate
hotpot,0,468,0.4680,0.6581,0.7616,0.3419,1.0000,1.0000,0.0000
hotpot,1,255,0.2550,0.6078,0.7211,0.3922,1.0000,0.0000,0.0000
hotpot,2,148,0.1480,0.3986,0.4227,0.6014,0.3243,0.6757,0.0000
hotpot,3,103,0.1030,0.3592,0.4699,0.6408,0.4951,0.0000,0.4951
hotpot,4+,26,0.0260,0.1154,0.1974,0.8846,0.0000,0.0000,0.6154
2wiki,0,170,0.3400,0.7412,0.8056,0.2588,1.0000,1.0000,0.0000
2wiki,1,149,0.2980,0.7383,0.8118,0.2617,1.0000,0.0000,0.0000
2wiki,2,81,0.1620,0.6049,0.6695,0.3951,0.1481,0.8519,0.0000
2wiki,3,89,0.1780,0.6404,0.6976,0.3596,0.2360,0.0000,0.2360
2wiki,4+,11,0.0220,0.2727,0.4396,0.7273,0.0000,0.0000,0.5455
