dataset,method,n,em,em_ci95_low,em_ci95_high,f1,f1_ci95_low,f1_ci95_high
hotpot,EvidenceFirst v4 fresh,1000,0.5500,0.5180,0.5800,0.6484,0.6185,0.6762
hotpot,EvidenceFirst v6 selector guard,1000,0.5620,0.5290,0.5920,0.6564,0.6313,0.6830
hotpot,HopRAG strict,1000,0.5410,0.5100,0.5730,0.6438,0.6175,0.6697
hotpot,A-RAG,1000,0.5170,0.4850,0.5490,0.6273,0.6004,0.6572
hotpot,IRCoT,1000,0.4660,0.4360,0.4960,0.5707,0.5417,0.6007
hotpot,LightRAG,1000,0.4380,0.4060,0.4690,0.5376,0.5106,0.5647
hotpot,MS GraphRAG,1000,0.1890,0.1640,0.2130,0.2774,0.2533,0.3045
hotpot,Naive RAG,1000,0.3920,0.3630,0.4230,0.4865,0.4591,0.5142
2wiki,EvidenceFirst v6,500,0.6900,0.6480,0.7300,0.7581,0.7234,0.7891
2wiki,EvidenceFirst v6 local-context,500,0.5040,0.4580,0.5480,0.5945,0.5519,0.6346
2wiki,LightRAG,500,0.6740,0.6300,0.7140,0.7716,0.7352,0.8032
2wiki,HopRAG strict,500,0.5640,0.5200,0.6060,0.6157,0.5701,0.6563
2wiki,A-RAG,500,0.6660,0.6220,0.7040,0.7323,0.6961,0.7652
2wiki,IRCoT,500,0.6560,0.6160,0.6960,0.7301,0.6932,0.7671
2wiki,Naive RAG,500,0.2980,0.2560,0.3380,0.3338,0.2942,0.3721
