dataset,method,n,em,em_ci95_low,em_ci95_high,f1,f1_ci95_low,f1_ci95_high
hotpot,EvidenceFirst v4 fresh,1000,0.5500,0.5200,0.5800,0.6484,0.6228,0.6764
hotpot,EvidenceFirst v6 selector guard,1000,0.5620,0.5290,0.5920,0.6564,0.6264,0.6842
hotpot,HopRAG strict,1000,0.5410,0.5100,0.5670,0.6438,0.6177,0.6678
hotpot,A-RAG,1000,0.5170,0.4860,0.5450,0.6273,0.6013,0.6507
hotpot,IRCoT,1000,0.4660,0.4370,0.4930,0.5707,0.5413,0.5956
hotpot,LightRAG,1000,0.4380,0.4050,0.4710,0.5376,0.5076,0.5679
hotpot,MS GraphRAG,1000,0.1890,0.1650,0.2160,0.2774,0.2513,0.3001
hotpot,Naive RAG,1000,0.3920,0.3600,0.4240,0.4865,0.4564,0.5137
2wiki,EvidenceFirst v6,500,0.6900,0.6420,0.7340,0.7581,0.7227,0.7903
2wiki,EvidenceFirst v6 local-context,500,0.5040,0.4560,0.5460,0.5945,0.5548,0.6359
2wiki,LightRAG,500,0.6740,0.6340,0.7140,0.7716,0.7396,0.8015
2wiki,HopRAG strict,500,0.5640,0.5180,0.6140,0.6157,0.5714,0.6557
2wiki,A-RAG,500,0.6660,0.6200,0.7020,0.7323,0.6961,0.7689
2wiki,IRCoT,500,0.6560,0.6120,0.6960,0.7301,0.6967,0.7678
2wiki,Naive RAG,500,0.2980,0.2580,0.3380,0.3338,0.2873,0.3731
