dataset,method,n,em,em_ci95_low,em_ci95_high,f1,f1_ci95_low,f1_ci95_high
hotpot,EvidenceFirst v4 fresh,1000,0.5500,0.5200,0.5800,0.6484,0.6192,0.6732
hotpot,EvidenceFirst v6 selector guard,1000,0.5620,0.5300,0.5900,0.6564,0.6302,0.6842
hotpot,HopRAG strict,1000,0.5410,0.5090,0.5720,0.6438,0.6173,0.6701
hotpot,A-RAG,1000,0.5170,0.4850,0.5490,0.6273,0.6027,0.6527
hotpot,IRCoT,1000,0.4660,0.4350,0.4970,0.5707,0.5442,0.6024
hotpot,LightRAG,1000,0.4380,0.4060,0.4670,0.5376,0.5120,0.5623
hotpot,MS GraphRAG,1000,0.1890,0.1650,0.2120,0.2774,0.2539,0.3018
hotpot,Naive RAG,1000,0.3920,0.3590,0.4230,0.4865,0.4582,0.5180
2wiki,EvidenceFirst v6,500,0.6900,0.6500,0.7320,0.7581,0.7240,0.7892
2wiki,EvidenceFirst v6 local-context,500,0.5040,0.4600,0.5500,0.5945,0.5546,0.6330
2wiki,LightRAG,500,0.6740,0.6340,0.7120,0.7716,0.7397,0.8090
2wiki,HopRAG strict,500,0.5640,0.5160,0.6080,0.6157,0.5758,0.6557
2wiki,A-RAG,500,0.6660,0.6260,0.7080,0.7323,0.6985,0.7698
2wiki,IRCoT,500,0.6560,0.6140,0.6940,0.7301,0.6928,0.7666
2wiki,Naive RAG,500,0.2980,0.2580,0.3360,0.3338,0.2938,0.3734
