dataset,signal,n,overall_error_rate,error_auc,topk_fraction,topk_n,topk_error_rate,topk_lift,topk_error_n
hotpot,audit_risk_score,1000,0.4380,0.6321,0.20,200,0.6700,1.5297,134
hotpot,answer_not_selected,1000,0.4380,0.6077,0.20,200,0.7000,1.5982,140
hotpot,chain_incomplete,1000,0.4380,0.5321,0.20,200,0.5050,1.1530,101
hotpot,residual_graph_gap,1000,0.4380,0.5264,0.20,200,0.5100,1.1644,102
hotpot,unrepaired_incomplete,1000,0.4380,0.5359,0.20,200,0.5100,1.1644,102
2wiki,audit_risk_score,500,0.3100,0.5787,0.20,100,0.4000,1.2903,40
2wiki,answer_not_selected,500,0.3100,0.5754,0.20,100,0.4000,1.2903,40
2wiki,chain_incomplete,500,0.3100,0.5144,0.20,100,0.2900,0.9355,29
2wiki,residual_graph_gap,500,0.3100,0.5204,0.20,100,0.3600,1.1613,36
2wiki,unrepaired_incomplete,500,0.3100,0.5029,0.20,100,0.3300,1.0645,33
