dataset,method,n,em,em_ci95_low,em_ci95_high,f1,f1_ci95_low,f1_ci95_high
hotpot,EvidenceFirst v4 fresh,1000,0.5500,0.5170,0.5790,0.6484,0.6228,0.6768
hotpot,EvidenceFirst v6 selector guard,1000,0.5620,0.5330,0.5930,0.6564,0.6263,0.6781
hotpot,HopRAG strict,1000,0.5410,0.5090,0.5700,0.6438,0.6181,0.6662
hotpot,A-RAG,1000,0.5170,0.4860,0.5470,0.6273,0.5975,0.6557
hotpot,IRCoT,1000,0.4660,0.4270,0.4970,0.5707,0.5405,0.5983
hotpot,LightRAG,1000,0.4380,0.4050,0.4660,0.5376,0.5089,0.5651
hotpot,MS GraphRAG,1000,0.1890,0.1650,0.2100,0.2774,0.2543,0.2999
hotpot,Naive RAG,1000,0.3920,0.3600,0.4200,0.4865,0.4622,0.5155
2wiki,EvidenceFirst v6,500,0.6900,0.6540,0.7300,0.7581,0.7260,0.7974
2wiki,EvidenceFirst v6 local-context,500,0.5040,0.4660,0.5440,0.5945,0.5516,0.6324
2wiki,LightRAG,500,0.6740,0.6340,0.7060,0.7716,0.7388,0.8100
2wiki,HopRAG strict,500,0.5640,0.5140,0.6120,0.6157,0.5718,0.6487
2wiki,A-RAG,500,0.6660,0.6240,0.7040,0.7323,0.6999,0.7680
2wiki,IRCoT,500,0.6560,0.6180,0.6900,0.7301,0.6963,0.7623
2wiki,Naive RAG,500,0.2980,0.2600,0.3360,0.3338,0.2903,0.3725
